iter	Passed	Remaining
0	13	8023
1	29	8787
22	64	12883	3	84	1264	74	101	15	96	5	1196	112	96	147	126	937	18	145	9578	9	165	97619	199	11754
111	193	9458
11	234	11513112	254	11491413	270	11315	14	294	11482
15	315	11518
16	332	11401
17	347	11251
18	369	11285
19	386	11222
20	400	11037
21	413	10858
22	428	10762
23	442	10616224	458	105427	437	8938
28	453	8933
29	468	8898
30	500	9184
31	513	9115
32	533	9172
33	552	9203
34	571	9233
35	593	9299
36	614	9354
37	633	9363
38	651	9377
39	669	9366
40	686	9359
41	703	9348
42	721	9340
43	736	9301
44	763	9416
45	783	9433
46	802	9446
47	821	9448
48	843	9484
49	861	9481
50	883	9515
51	900	9489
52	915	9445
53	931	9416
54	997	9884
55	1027	9978556	1041	9915757	1059	9858	58	1073	9859	59	1093	9860	60	1107	9761	61	1125	9767
62	1160	9888
63	1175	9845
64	1192	9813
65	1210	9794
66	1231	9798
67	1245	9745
68	1260	9697
69	1273	9640
70	1293	9638
71	1317	9659
72	1334	9633
73	1351	9609
74	1368	9579
75	1385	9550
76	1405	9546
77	1423	9526
78	1441	9503
79	1457	9476
80	1471	9427
81	1489	9407
82	1502	9356
83	1518	9326
84	1532	9285
85	1551	9274
86	1566	9239
87	1583	9214
88	1606	9224
89	1618	9170
90	1637	9157
91	1650	9111
92	1667	9091
93	1682	9058
94	1701	9043
95	1714	9001
96	1734	8994
97	1748	8954
98	1766	8941
99	1790	8950
100	1807	8928
101	1821	8891
102	1832	8843
103	1849	8822
104	1864	8789
105	1882	8772
106	1892	8721
107	1903	8671
108	1921	8655
109	1942	8655
110	1960	8635
111	1987	8660
112	2015	8684
113	2036	8683
114	2053	8659
115	2069	8633
116	2084	8605
117	2100	8581
118	2111	8534
119	2127	8509
120	2139	8471
121	2159	8461
122	2168	8408
123	2175	8351
124	2183	8298
125	2194	8256
126	2206	8217
127	2218	8179
128	2232	8150
129	2251	8139
130	2259	8089
131	2282	8091
132	2296	8064
133	2317	8058
134	2329	8024
135	2348	8011
136	2366	7997
137	2380	7970
138	2398	7956
139	2420	7953
140	2442	7951
141	2462	7942
142	2479	7923
143	2496	7904
144	2512	7884
145	2529	7864
146	2545	7845
147	2559	7818
148	2575	7794
149	2588	7764
150	2600	7733
151	2615	7709
152	2628	7680
153	2643	7655
154	2658	7632
155	2676	7616
156	2690	7592
157	2707	7573
158	2720	7544
159	2739	7532
160	2760	7525
161	2773	7498
162	2786	7469
163	2810	7470
164	2832	7466
165	2854	7462
166	2876	7459
167	2904	7469
168	2920	7449
169	2937	7430
170	2953	7410
171	2969	7389
172	2980	7357
173	3005	7357
174	3022	7339
175	3036	7316
176	3050	7291
177	3065	7268
178	3088	7263
179	3109	7256
180	3137	7262
181	3150	7234
182	3168	7219
183	3188	7208
184	3207	7194
185	3226	7181
186	3242	7160
187	3257	7139
188	3280	7133
189	3297	7115
190	3316	7102
191	3338	7094
192	3354	7073
193	3375	7064
194	3397	7055
195	3417	7044
196	3438	7033
197	3458	7022
198	3480	7013
199	3500	7001
200	3519	6986
201	3539	6974
202	3560	6962
203	3581	6951
204	3603	6944
205	3624	6931
206	3649	6929
207	3661	6899
208	3677	6880
209	3696	6864
210	3713	6846
211	3731	6829
212	3746	6807
213	3758	6778
214	3768	6748
215	3781	6722
216	3793	6695
217	3804	6667
218	3816	6639
219	3829	6614
220	3844	6593
221	3861	6575
222	3876	6554
223	3892	6533
224	3906	6510
225	3920	6487
226	3937	6469
227	3951	6447
228	3965	6424
229	3979	6402
230	3994	6380
231	4009	6359
232	4022	6335
233	4036	6312
234	4050	6290
235	4064	6268
236	4079	6248
237	4093	6226
238	4108	6205
239	4124	6186
240	4137	6163
241	4150	6139
242	4165	6119
243	4179	6098
244	4193	6076
245	4208	6055
246	4222	6034
247	4238	6015
248	4252	5994
249	4270	5978
250	4285	5958
251	4300	5939
252	4315	5918
253	4334	5904
254	4350	5885
255	4367	5869
256	4381	5847
257	4400	5832
258	4419	5818
259	4435	5800
260	4452	5782
261	4470	5767
262	4486	5748
263	4502	5730
264	4518	5711
265	4537	5697
266	4553	5679
267	4567	5658
268	4584	5641
269	4600	5622
270	4614	5602
271	4629	5582
272	4645	5563
273	4659	5544
274	4676	5527
275	4702	5520
276	4716	5499
277	4732	5482
278	4747	5462
279	4771	5453
280	4786	5433
281	4807	5420
282	4826	5406
283	4844	5390
284	4859	5371
285	4874	5351
286	4890	5333
287	4907	5316
288	4925	5300
289	4935	5275
290	4952	52291291	4972	5244
292	4981	52293293	4991	51294	4920	5087
295	4938	5071
296	4952	5052
297	4970	5036
298	4988	5021
299	4999	4999
300300	5104	50301	5035	4968
302302	5138	50303	5068	4935
304	5102	4935
305	5126	4925
306	5138	4904
307	5161	4893
308	5172	4870
309	5188	4854
310	5202	4834
311	5225	4823
312	5242	4807
313	5260	4791
314	5280	4777
315	5298	4762
316	5322	4751
317	5345	4740
318	5362	4723
319	5383	4710
320	5409	4701
321	5428	4686
322	5454	4677
323	5470	4659
324	5488	4643
325	5503	4625
326	5518	4607
327	5537	4592
328	5551	4572
329	5572	4558
330	5593	4546
331	5610	4528
332	5637	4520
333	5659	4507
334	5681	4494
335	5697	4476
336	5711	4457
337	5731	4442
338	5748	4425
339	5772	4414
340	5812	4415
341	5831	4399
342	5852	4385
343	5874	4371
344	5893	4356
345	5915	4342
346	5933	4325
347	5953	4311
348	5973	4295
349	5993	4281
350	6012	4265
351	6030	4248
352	6047	4231
353	6067	4216
354	6083	4198
355	6099	4180
356	6115	4162
357	6131	4144
358	6146	4126
359	6163	4108
360	6176	4089
361	6194	4072
362	6211	4055
363	6226	4037
364	6245	4020
365	6267	4007
366	6279	3986
367	6293	3967
368	6307	3948
369	6325	3931
370	6346	3917
371	6357	3896
372	6379	3882
373	6407	3872
374	6423	3854
375	6451	3843
376	6467	3825
377	6487	3810
378	6504	3793
379	6527	3779
380	6544	3761
381	6563	3745
382	6581	3729
383	6605	3715
384	6621	3697
385	6650	3687
386	6664	3667
387	6678	3649
388	6693	3630
389	6711	3613
390	6727	3596
391	6743	3578
392	6761	3561
393	6777	3543
394	6794	3526
395	6811	3508
396	6834	3494
397	6849	3476
398	6867	3459
399	6882	3441
400	6901	3425
401	6919	3408
402	6941	3393
403	6961	3377
404	6994	3367
405	7012	3350
406	7031	3334
407	7051	3318
408	7064	3299
409	7116	3297
410	7126	3277
411	7141	3258
412	7150	3237
413	7160	3217
414	7174	3198
415	7188	3179
416	7197	3158
417	7206	3137
4416	7341	32214417	7367	3207
418	7387	3191
419	7407	3174
420	7432	3160
421	7457	3145
422	7473	3127
423	7492	3109
424	7509	3092
425	7531	3076
426	7550	3059
427	7576	3044
428	7598	3028
429	7624	3014
430	7643	2996
431	7659	2978
432	7674	2960
433	7694	2942
434	7710	2924
435	7729	2907
436	7756	2893
437	7774	2875
438	7789	2856
439	7804	2837
440	7823	2820
441	7846	2804
442	7862	2786
443	7883	2770
444	7906	2753
445	7923	2735
446	7938	2717
447	7954	2698
448	7972	2681
449	7994	2664
450	8018	2648
451	8039	2632
452	8062	2616
453	8084	2599
454	8107	2583
455	8126	2566
456	8147	2549
457	8186	2538
458	8215	2523
459	8234	2506
460	8258	2489
461	8283	2474
462	8316	2460
463	8353	2448
464	8393	2436
465	8432	2424
466	8451	2406
467	8470	2389
468	8494	2372
469	8516	2355
470	8547	2340
471	8568	2323
472	8588	2305
473	8608	2288
474	8634	2272
475	8654	2254
476	8675	2237
477	8697	2219
