t,U,U,Pij,Pg,Pgt,delta
0.010,10.500,110.000,8.750,18.700,18.700,52.64
0.020,10.500,110.000,8.750,18.700,18.700,52.64
0.030,10.500,110.000,8.750,18.700,18.700,52.64
0.040,10.500,110.000,8.750,18.700,18.700,52.64
0.050,10.500,110.000,8.750,18.700,18.700,52.64
0.060,10.500,110.000,8.750,18.700,18.700,52.64
0.070,10.500,110.000,8.750,18.700,18.700,52.64
0.080,10.500,110.000,8.750,18.700,18.700,52.64
0.090,10.500,110.000,8.750,18.700,18.700,52.64
0.100,10.500,110.000,8.750,18.700,18.700,52.64
0.110,10.500,110.000,8.750,18.700,18.700,52.64
0.120,10.500,110.000,8.750,18.700,18.700,52.64
0.130,10.500,110.000,8.750,18.700,18.700,52.64
0.140,10.500,110.000,8.750,18.700,18.700,52.64
0.150,10.500,110.000,8.750,18.700,18.700,52.64
0.160,10.500,110.000,8.750,18.700,18.700,52.64
0.170,10.500,110.000,8.750,18.700,18.700,52.64
0.180,10.500,110.000,8.750,18.700,18.700,52.64
0.190,10.500,110.000,8.750,18.700,18.700,52.64
0.200,10.500,110.000,8.750,18.700,18.700,52.64
0.200,10.542,109.997,15.101,15.968,18.700,52.64
0.210,10.542,109.997,15.102,15.968,18.700,52.64
0.220,10.542,109.997,15.103,15.970,18.700,52.65
0.230,10.541,109.997,15.107,15.974,18.700,52.67
0.240,10.541,109.997,15.111,15.979,18.700,52.69
0.250,10.541,109.997,15.117,15.986,18.700,52.72
0.260,10.541,109.997,15.123,15.993,18.700,52.75
0.270,10.541,109.997,15.131,16.003,18.700,52.79
0.280,10.540,109.997,15.141,16.013,18.700,52.84
0.290,10.540,109.997,15.151,16.025,18.700,52.89
0.300,10.540,109.997,15.162,16.039,18.700,52.95
0.310,10.539,109.997,15.175,16.053,18.700,53.02
0.320,10.539,109.997,15.189,16.069,18.700,53.09
0.330,10.538,109.996,15.204,16.086,18.700,53.16
0.340,10.538,109.996,15.220,16.105,18.700,53.25
0.350,10.537,109.996,15.237,16.124,18.700,53.34
0.360,10.536,109.996,15.255,16.145,18.700,53.43
0.370,10.536,109.996,15.274,16.167,18.700,53.53
0.380,10.535,109.996,15.294,16.190,18.700,53.63
0.390,10.534,109.996,15.315,16.215,18.700,53.74
0.400,10.534,109.996,15.337,16.240,18.700,53.86
0.410,10.533,109.995,15.360,16.267,18.700,53.98
0.420,10.532,109.995,15.384,16.295,18.700,54.11
0.430,10.531,109.995,15.408,16.324,18.700,54.24
0.440,10.530,109.995,15.434,16.354,18.700,54.37
0.450,10.529,109.995,15.461,16.384,18.700,54.52
0.460,10.528,109.995,15.488,16.416,18.700,54.66
0.470,10.527,109.994,15.516,16.449,18.700,54.81
0.480,10.526,109.994,15.545,16.483,18.700,54.97
0.490,10.525,109.994,15.575,16.518,18.700,55.13
0.500,10.524,109.994,15.605,16.553,18.700,55.30
0.510,10.523,109.993,15.636,16.590,18.700,55.47
0.520,10.521,109.993,15.668,16.627,18.700,55.64
0.530,10.520,109.993,15.701,16.665,18.700,55.82
0.540,10.519,109.993,15.734,16.704,18.700,56.00
0.550,10.518,109.993,15.767,16.743,18.700,56.19
0.560,10.516,109.992,15.802,16.783,18.700,56.38
0.570,10.515,109.992,15.836,16.824,18.700,56.58
0.580,10.513,109.992,15.872,16.866,18.700,56.78
0.590,10.512,109.991,15.907,16.908,18.700,56.98
0.600,10.511,109.991,15.944,16.951,18.700,57.19
0.610,10.509,109.991,15.980,16.994,18.700,57.40
0.620,10.508,109.991,16.017,17.038,18.700,57.61
0.630,10.506,109.990,16.055,17.082,18.700,57.83
0.640,10.504,109.990,16.092,17.127,18.700,58.05
0.650,10.503,109.990,16.130,17.172,18.700,58.27
0.660,10.501,109.989,16.169,17.218,18.700,58.50
0.670,10.500,109.989,16.207,17.264,18.700,58.73
0.680,10.498,109.989,16.246,17.310,18.700,58.97
0.690,10.496,109.988,16.285,17.357,18.700,59.20
0.700,10.494,109.988,16.324,17.404,18.700,59.44
0.710,10.493,109.988,16.364,17.451,18.700,59.68
0.720,10.491,109.988,16.403,17.499,18.700,59.93
0.730,10.489,109.987,16.443,17.546,18.700,60.17
0.740,10.487,109.987,16.482,17.594,18.700,60.42
0.750,10.485,109.986,16.522,17.642,18.700,60.67
0.760,10.483,109.986,16.561,17.690,18.700,60.93
0.770,10.481,109.986,16.601,17.738,18.700,61.18
0.780,10.480,109.985,16.641,17.786,18.700,61.44
0.790,10.478,109.985,16.680,17.834,18.700,61.70
0.800,10.476,109.985,16.720,17.883,18.700,61.96
0.810,10.474,109.984,16.759,17.931,18.700,62.22
0.820,10.472,109.984,16.798,17.979,18.700,62.49
0.830,10.470,109.984,16.837,18.027,18.700,62.75
0.840,10.468,109.983,16.876,18.075,18.700,63.02
0.850,10.466,109.983,16.915,18.122,18.700,63.29
0.860,10.463,109.982,16.954,18.170,18.700,63.55
0.870,10.461,109.982,16.992,18.217,18.700,63.82
0.880,10.459,109.982,17.030,18.264,18.700,64.09
0.890,10.457,109.981,17.068,18.311,18.700,64.37
0.900,10.455,109.981,17.105,18.358,18.700,64.64
0.910,10.453,109.981,17.142,18.405,18.700,64.91
0.920,10.451,109.980,17.179,18.451,18.700,65.18
0.930,10.449,109.980,17.215,18.497,18.700,65.46
0.940,10.446,109.979,17.251,18.542,18.700,65.73
0.950,10.444,109.979,17.287,18.587,18.700,66.00
0.960,10.442,109.979,17.323,18.632,18.700,66.28
0.970,10.440,109.978,17.358,18.677,18.700,66.55
0.980,10.438,109.978,17.392,18.721,18.700,66.83
0.990,10.436,109.977,17.426,18.764,18.700,67.10
1.000,10.433,109.977,17.460,18.807,18.700,67.37
1.010,10.431,109.977,17.493,18.850,18.700,67.65
1.020,10.429,109.976,17.526,18.892,18.700,67.92
1.030,10.427,109.976,17.558,18.934,18.700,68.19
1.040,10.425,109.976,17.590,18.976,18.700,68.46
1.050,10.422,109.975,17.622,19.017,18.700,68.73
1.060,10.420,109.975,17.652,19.057,18.700,69.00
1.070,10.418,109.974,17.683,19.097,18.700,69.27
1.080,10.416,109.974,17.713,19.136,18.700,69.54
1.090,10.414,109.974,17.742,19.175,18.700,69.80
1.100,10.411,109.973,17.771,19.213,18.700,70.07
1.110,10.409,109.973,17.799,19.251,18.700,70.33
1.120,10.407,109.972,17.827,19.288,18.700,70.60
1.130,10.405,109.972,17.855,19.325,18.700,70.86
1.140,10.403,109.972,17.881,19.361,18.700,71.12
1.150,10.401,109.971,17.908,19.397,18.700,71.37
1.160,10.398,109.971,17.933,19.431,18.700,71.63
1.170,10.396,109.971,17.959,19.466,18.700,71.89
1.180,10.394,109.970,17.983,19.500,18.700,72.14
1.190,10.392,109.970,18.008,19.533,18.700,72.39
