t,U,U,Pij,Pg,Pgt,delta
0.010,10.500,110.000,10.051,21.900,21.900,65.45
0.020,10.500,110.000,10.051,21.900,21.900,65.45
0.030,10.500,110.000,10.051,21.900,21.900,65.45
0.040,10.500,110.000,10.051,21.900,21.900,65.45
0.050,10.500,110.000,10.051,21.900,21.900,65.45
0.060,10.500,110.000,10.051,21.900,21.900,65.45
0.070,10.500,110.000,10.051,21.900,21.900,65.45
0.080,10.500,110.000,10.051,21.900,21.900,65.45
0.090,10.500,110.000,10.051,21.900,21.900,65.45
0.100,10.500,110.000,10.051,21.900,21.900,65.45
0.110,10.500,110.000,10.051,21.900,21.900,65.45
0.120,10.500,110.000,10.051,21.900,21.900,65.45
0.130,10.500,110.000,10.051,21.900,21.900,65.45
0.140,10.500,110.000,10.051,21.900,21.900,65.45
0.150,10.500,110.000,10.051,21.900,21.900,65.45
0.160,10.500,110.000,10.051,21.900,21.900,65.45
0.170,10.500,110.000,10.051,21.900,21.900,65.45
0.180,10.500,110.000,10.051,21.900,21.900,65.45
0.190,10.500,110.000,10.051,21.900,21.900,65.45
0.200,10.500,110.000,10.051,21.900,21.900,65.45
0.200,10.559,110.000,17.426,18.724,21.900,65.45
0.210,10.559,110.000,17.427,18.724,21.900,65.45
0.220,10.559,110.000,17.428,18.726,21.900,65.46
0.230,10.559,110.000,17.431,18.729,21.900,65.48
0.240,10.559,110.000,17.434,18.734,21.900,65.51
0.250,10.559,110.000,17.439,18.739,21.900,65.54
0.260,10.558,110.000,17.444,18.746,21.900,65.58
0.270,10.558,110.000,17.450,18.754,21.900,65.63
0.280,10.558,110.000,17.458,18.763,21.900,65.68
0.290,10.557,110.000,17.466,18.774,21.900,65.74
0.300,10.557,110.000,17.475,18.785,21.900,65.81
0.310,10.556,109.999,17.485,18.798,21.900,65.89
0.320,10.555,109.999,17.496,18.812,21.900,65.97
0.330,10.555,109.999,17.508,18.827,21.900,66.06
0.340,10.554,109.999,17.520,18.843,21.900,66.16
0.350,10.553,109.999,17.534,18.860,21.900,66.26
0.360,10.552,109.999,17.548,18.878,21.900,66.37
0.370,10.551,109.999,17.563,18.897,21.900,66.49
0.380,10.550,109.998,17.578,18.917,21.900,66.61
0.390,10.549,109.998,17.595,18.938,21.900,66.74
0.400,10.548,109.998,17.612,18.960,21.900,66.87
0.410,10.547,109.998,17.630,18.983,21.900,67.02
0.420,10.546,109.998,17.649,19.006,21.900,67.16
0.430,10.545,109.997,17.668,19.031,21.900,67.32
0.440,10.543,109.997,17.688,19.057,21.900,67.48
0.450,10.542,109.997,17.708,19.083,21.900,67.65
0.460,10.541,109.997,17.730,19.110,21.900,67.82
0.470,10.539,109.996,17.751,19.138,21.900,68.00
0.480,10.538,109.996,17.773,19.167,21.900,68.18
0.490,10.536,109.996,17.796,19.197,21.900,68.37
0.500,10.534,109.996,17.819,19.227,21.900,68.57
0.510,10.533,109.995,17.843,19.257,21.900,68.77
0.520,10.531,109.995,17.867,19.289,21.900,68.98
0.530,10.529,109.995,17.891,19.321,21.900,69.19
0.540,10.528,109.994,17.916,19.354,21.900,69.41
0.550,10.526,109.994,17.941,19.387,21.900,69.64
0.560,10.524,109.994,17.967,19.421,21.900,69.87
0.570,10.522,109.993,17.993,19.455,21.900,70.10
0.580,10.520,109.993,18.019,19.489,21.900,70.34
0.590,10.518,109.993,18.045,19.525,21.900,70.59
0.600,10.516,109.992,18.071,19.560,21.900,70.84
0.610,10.514,109.992,18.098,19.596,21.900,71.09
0.620,10.511,109.991,18.125,19.632,21.900,71.35
0.630,10.509,109.991,18.152,19.668,21.900,71.62
0.640,10.507,109.991,18.179,19.705,21.900,71.89
0.650,10.505,109.990,18.206,19.742,21.900,72.16
0.660,10.502,109.990,18.233,19.779,21.900,72.44
0.670,10.500,109.989,18.260,19.817,21.900,72.72
0.680,10.498,109.989,18.287,19.854,21.900,73.01
0.690,10.495,109.989,18.314,19.892,21.900,73.30
0.700,10.493,109.988,18.341,19.929,21.900,73.60
0.710,10.490,109.988,18.367,19.967,21.900,73.90
0.720,10.487,109.987,18.394,20.005,21.900,74.20
0.730,10.485,109.987,18.420,20.043,21.900,74.51
0.740,10.482,109.986,18.446,20.080,21.900,74.82
