t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,11.687,24.600,24.600,51.56
0.020,10.500,110.000,11.687,24.600,24.600,51.56
0.030,10.500,110.000,11.687,24.600,24.600,51.56
0.040,10.500,110.000,11.687,24.600,24.600,51.56
0.050,10.500,110.000,11.687,24.600,24.600,51.56
0.060,10.500,110.000,11.687,24.600,24.600,51.56
0.070,10.500,110.000,11.687,24.600,24.600,51.56
0.080,10.500,110.000,11.687,24.600,24.600,51.56
0.090,10.500,110.000,11.687,24.600,24.600,51.56
0.100,10.500,110.000,11.687,24.600,24.600,51.56
0.110,10.500,110.000,11.687,24.600,24.600,51.56
0.120,10.500,110.000,11.687,24.600,24.600,51.56
0.130,10.500,110.000,11.687,24.600,24.600,51.56
0.140,10.500,110.000,11.687,24.600,24.600,51.56
0.150,10.500,110.000,11.687,24.600,24.600,51.56
0.160,10.500,110.000,11.687,24.600,24.600,51.56
0.170,10.500,110.000,11.687,24.600,24.600,51.56
0.180,10.500,110.000,11.687,24.600,24.600,51.56
0.190,10.500,110.000,11.687,24.600,24.600,51.56
00.200,10.568,110.000,19.253,20.056,24.600,51.56
0.210,10.568,110.000,19.254,20.058,24.600,51.57
0.220,10.568,110.000,19.258,20.062,24.600,51.58
0.230,10.568,110.000,19.265,20.070,24.600,51.61
0.240,10.567,110.000,19.275,20.081,24.600,51.65
0.250,10.567,110.000,19.288,20.095,24.600,51.70
0.260,10.567,110.000,19.303,20.112,24.600,51.75
0.270,10.566,109.999,19.321,20.132,24.600,51.82
0.280,10.565,109.999,19.341,20.155,24.600,51.90
0.290,10.565,109.999,19.365,20.180,24.600,51.99
0.300,10.564,109.999,19.390,20.209,24.600,52.09
0.310,10.563,109.999,19.419,20.240,24.600,52.19
0.320,10.562,109.999,19.449,20.274,24.600,52.31
0.330,10.561,109.998,19.482,20.311,24.600,52.44
0.340,10.560,109.998,19.518,20.350,24.600,52.58
0.350,10.559,109.998,19.555,20.392,24.600,52.72
0.360,10.557,109.998,19.595,20.436,24.600,52.88
0.370,10.556,109.998,19.637,20.483,24.600,53.04
0.380,10.555,109.997,19.682,20.533,24.600,53.21
0.390,10.553,109.997,19.728,20.584,24.600,53.39
0.400,10.551,109.997,19.776,20.638,24.600,53.58
0.410,10.550,109.996,19.826,20.694,24.600,53.78
0.420,10.548,109.996,19.878,20.752,24.600,53.99
0.430,10.546,109.996,19.932,20.813,24.600,54.21
0.440,10.544,109.995,19.988,20.875,24.600,54.43
0.450,10.542,109.995,20.045,20.939,24.600,54.66
0.460,10.540,109.994,20.104,21.005,24.600,54.90
0.470,10.538,109.994,20.165,21.073,24.600,55.15
0.480,10.536,109.994,20.227,21.142,24.600,55.40
0.490,10.534,109.993,20.290,21.213,24.600,55.66
0.500,10.531,109.993,20.355,21.286,24.600,55.93
0.510,10.529,109.992,20.420,21.360,24.600,56.21
0.520,10.527,109.992,20.487,21.436,24.600,56.49
0.530,10.524,109.991,20.555,21.513,24.600,56.78
0.540,10.521,109.991,20.624,21.591,24.600,57.08
0.550,10.519,109.990,20.694,21.670,24.600,57.38
0.560,10.516,109.990,20.765,21.750,24.600,57.69
0.570,10.513,109.989,20.837,21.831,24.600,58.00
0.580,10.510,109.989,20.909,21.913,24.600,58.32
0.590,10.507,109.988,20.982,21.996,24.600,58.65
0.600,10.504,109.988,21.055,22.080,24.600,58.98
0.610,10.501,109.987,21.129,22.164,24.600,59.31
0.620,10.498,109.986,21.203,22.249,24.600,59.65
0.630,10.495,109.986,21.278,22.334,24.600,60.00
0.640,10.492,109.985,21.353,22.420,24.600,60.35
0.650,10.488,109.985,21.427,22.506,24.600,60.70
0.660,10.485,109.984,21.502,22.593,24.600,61.06
0.670,10.482,109.983,21.578,22.679,24.600,61.43
0.680,10.478,109.983,21.652,22.766,24.600,61.79
0.690,10.475,109.982,21.727,22.853,24.600,62.16
0.700,10.471,109.981,21.802,22.939,24.600,62.54
0.710,10.467,109.981,21.876,23.026,24.600,62.92
0.720,10.464,109.980,21.950,23.112,24.600,63.30
0.730,10.460,109.979,22.024,23.198,24.600,63.68
0.740,10.456,109.979,22.097,23.284,24.600,64.06
0.750,10.453,109.978,22.170,23.370,24.600,64.45
0.760,10.449,109.977,22.242,23.455,24.600,64.84
0.770,10.445,109.976,22.314,23.539,24.600,65.24
0.780,10.441,109.976,22.385,23.623,24.600,65.63
0.790,10.437,109.975,22.455,23.707,24.600,66.03
0.800,10.433,109.974,22.525,23.789,24.600,66.43
0.810,10.429,109.974,22.593,23.871,24.600,66.83
0.820,10.425,109.973,22.661,23.953,24.600,67.23
0.830,10.421,109.972,22.728,24.033,24.600,67.63
0.840,10.417,109.971,22.794,24.113,24.600,68.03
0.850,10.413,109.971,22.859,24.191,24.600,68.44
0.860,10.409,109.970,22.923,24.269,24.600,68.84
0.870,10.404,109.969,22.986,24.345,24.600,69.25
0.880,10.400,109.968,23.048,24.421,24.600,69.65
0.890,10.396,109.968,23.109,24.496,24.600,70.06
0.900,10.392,109.967,23.168,24.569,24.600,70.46
0.910,10.388,109.966,23.227,24.642,24.600,70.87
0.920,10.383,109.965,23.284,24.713,24.600,71.27
0.930,10.379,109.965,23.340,24.783,24.600,71.68
0.940,10.375,109.964,23.395,24.852,24.600,72.08
0.950,10.371,109.963,23.449,24.919,24.600,72.48
0.960,10.366,109.962,23.501,24.985,24.600,72.88
0.970,10.362,109.962,23.553,25.051,24.600,73.28
0.980,10.358,109.961,23.602,25.114,24.600,73.68
0.990,10.354,109.960,23.651,25.177,24.600,74.08
1.000,10.349,109.959,23.698,25.238,24.600,74.48
1.010,10.345,109.959,23.745,25.298,24.600,74.87
1.020,10.341,109.958,23.789,25.356,24.600,75.26
1.030,10.337,109.957,23.833,25.414,24.600,75.66
1.040,10.332,109.956,23.875,25.469,24.600,76.04
1.050,10.328,109.956,23.916,25.524,24.600,76.43
1.060,10.324,109.955,23.956,25.577,24.600,76.82
1.070,10.320,109.954,23.994,25.629,24.600,77.20
1.080,10.315,109.954,24.031,25.680,24.600,77.58
1.090,10.311,109.953,24.067,25.729,24.600,77.96
1.100,10.307,109.952,24.101,25.777,24.600,78.33
1.110,10.303,109.951,24.135,25.823,24.600,78.70
1.120,10.299,109.951,24.167,25.868,24.600,79.07
1.130,10.295,109.950,24.198,25.912,24.600,79.44
1.140,10.291,109.949,24.227,25.955,24.600,79.80
1.150,10.287,109.949,24.256,25.996,24.600,80.16
1.160,10.283,109.948,24.283,26.036,24.600,80.52
1.170,10.279,109.947,24.309,26.075,24.600,80.87
1.180,10.275,109.947,24.334,26.113,24.600,81.22
1.190,10.271,109.946,24.358,26.149,24.600,81.57
1.200,10.267,109.945,24.381,26.184,24.600,81.91
1.210,10.263,109.945,24.403,26.218,24.600,82.25
1.220,10.259,109.944,24.423,26.251,24.600,82.58
1.230,10.255,109.943,24.443,26.282,24.600,82.92
1.240,10.252,109.943,24.462,26.313,24.600,83.24
1.250,10.248,109.942,24.479,26.342,24.600,83.57
1.260,10.244,109.941,24.496,26.370,24.600,83.89
1.270,10.241,109.941,24.512,26.398,24.600,84.21
1.280,10.237,109.940,24.527,26.424,24.600,84.52
1.290,10.234,109.940,24.541,26.449,24.600,84.83
1.300,10.230,109.939,24.554,26.473,24.600,85.13
1.310,10.227,109.939,24.566,26.496,24.600,85.43
1.320,10.223,109.938,24.578,26.518,24.600,85.73
1.330,10.220,109.937,24.588,26.539,24.600,86.02
1.340,10.216,109.937,24.598,26.560,24.600,86.31
1.350,10.213,109.936,24.607,26.579,24.600,86.59
1.360,10.210,109.936,24.616,26.598,24.600,86.87
1.370,10.207,109.935,24.624,26.615,24.600,87.14
1.380,10.204,109.935,24.631,26.632,24.600,87.41
1.390,10.201,109.934,24.637,26.648,24.600,87.68
1.400,10.197,109.934,24.643,26.664,24.600,87.94
1.410,10.194,109.933,24.648,26.678,24.600,88.19
1.420,10.192,109.933,24.653,26.692,24.600,88.45
1.430,10.189,109.932,24.657,26.705,24.600,88.69
1.440,10.186,109.932,24.661,26.718,24.600,88.93
1.450,10.183,109.931,24.664,26.729,24.600,89.17
1.460,10.180,109.931,24.667,26.741,24.600,89.41
1.470,10.178,109.931,24.669,26.751,24.600,89.63
1.480,10.175,109.930,24.671,26.761,24.600,89.86
1.490,10.172,109.930,24.673,26.771,24.600,90.08
1.500,10.170,109.929,24.674,26.780,24.600,90.29
1.510,10.167,109.929,24.675,26.788,24.600,90.50
1.520,10.165,109.929,24.675,26.796,24.600,90.70
1.530,10.163,109.928,24.675,26.803,24.600,90.90
1.540,10.160,109.928,24.675,26.810,24.600,91.10
1.550,10.158,109.927,24.675,26.817,24.600,91.29
1.560,10.156,109.927,24.674,26.823,24.600,91.48
1.570,10.154,109.927,24.673,26.828,24.600,91.66
1.580,10.152,109.926,24.672,26.834,24.600,91.83
1.590,10.150,109.926,24.671,26.838,24.600,92.00
1.600,10.148,109.926,24.669,26.843,24.600,92.17
1.610,10.146,109.925,24.668,26.847,24.600,92.33
1.620,10.144,109.925,24.666,26.851,24.600,92.49
1.630,10.142,109.925,24.664,26.855,24.600,92.64
1.640,10.140,109.925,24.662,26.858,24.600,92.78
1.650,10.139,109.924,24.660,26.861,24.600,92.93
1.660,10.137,109.924,24.658,26.864,24.600,93.06
1.670,10.136,109.924,24.656,26.867,24.600,93.19
