t,Ug,Us,Pij,Pg,Pgt,delta
0.010,10.500,110.000,17.210,38.000,38.000,67.59
0.020,10.500,110.000,17.210,38.000,38.000,67.59
0.030,10.500,110.000,17.210,38.000,38.000,67.59
0.040,10.500,110.000,17.210,38.000,38.000,67.59
0.050,10.500,110.000,17.210,38.000,38.000,67.59
0.060,10.500,110.000,17.210,38.000,38.000,67.59
0.070,10.500,110.000,17.210,38.000,38.000,67.59
0.080,10.500,110.000,17.210,38.000,38.000,67.59
0.090,10.500,110.000,17.210,38.000,38.000,67.59
0.100,10.595,110.005,30.229,32.876,38.000,67.59
0.110,10.595,110.005,30.230,32.877,38.000,67.60
0.120,10.594,110.005,30.234,32.882,38.000,67.62
0.130,10.594,110.005,30.240,32.891,38.000,67.65
0.140,10.594,110.005,30.249,32.902,38.000,67.69
0.150,10.593,110.005,30.260,32.917,38.000,67.74
0.160,10.592,110.004,30.273,32.934,38.000,67.81
0.170,10.591,110.004,30.289,32.955,38.000,67.88
0.180,10.590,110.004,30.307,32.979,38.000,67.97
0.190,10.588,110.004,30.327,33.006,38.000,68.07
0.200,10.587,110.003,30.349,33.036,38.000,68.18
0.210,10.585,110.003,30.373,33.068,38.000,68.30
0.220,10.584,110.003,30.399,33.103,38.000,68.44
0.230,10.582,110.002,30.427,33.141,38.000,68.58
0.240,10.580,110.002,30.458,33.182,38.000,68.73
0.250,10.578,110.002,30.490,33.225,38.000,68.90
0.260,10.575,110.001,30.523,33.271,38.000,69.07
0.270,10.573,110.001,30.559,33.319,38.000,69.26
0.280,10.570,110.000,30.596,33.369,38.000,69.46
0.290,10.567,110.000,30.634,33.422,38.000,69.66
0.300,10.564,109.999,30.674,33.476,38.000,69.88
0.310,10.561,109.999,30.715,33.533,38.000,70.10
0.320,10.558,109.998,30.758,33.592,38.000,70.34
0.330,10.555,109.997,30.801,33.652,38.000,70.58
0.340,10.552,109.997,30.846,33.714,38.000,70.83
0.350,10.548,109.996,30.892,33.778,38.000,71.10
0.360,10.544,109.995,30.938,33.844,38.000,71.37
0.370,10.540,109.995,30.985,33.910,38.000,71.65
0.380,10.536,109.994,31.034,33.978,38.000,71.94
0.390,10.532,109.993,31.082,34.048,38.000,72.24
0.400,10.528,109.992,31.131,34.118,38.000,72.54
0.410,10.524,109.992,31.181,34.190,38.000,72.86
0.420,10.519,109.991,31.231,34.262,38.000,73.18
0.430,10.515,109.990,31.281,34.335,38.000,73.51
0.440,10.510,109.989,31.331,34.409,38.000,73.85
0.450,10.505,109.988,31.381,34.483,38.000,74.19
0.460,10.500,109.987,31.431,34.558,38.000,74.54
0.470,10.495,109.986,31.480,34.633,38.000,74.90
0.480,10.490,109.986,31.530,34.709,38.000,75.27
0.490,10.485,109.985,31.579,34.784,38.000,75.65
0.500,10.479,109.984,31.627,34.860,38.000,76.03
0.510,10.474,109.983,31.675,34.935,38.000,76.41
0.520,10.468,109.982,31.722,35.010,38.000,76.81
0.530,10.462,109.981,31.769,35.085,38.000,77.21
0.540,10.457,109.980,31.814,35.159,38.000,77.61
0.550,10.451,109.978,31.859,35.233,38.000,78.02
0.560,10.445,109.977,31.902,35.307,38.000,78.44
0.570,10.439,109.976,31.945,35.379,38.000,78.86
0.580,10.432,109.975,31.986,35.451,38.000,79.29
0.590,10.426,109.974,32.026,35.522,38.000,79.73
0.600,10.420,109.973,32.064,35.592,38.000,80.16
0.610,10.413,109.972,32.101,35.661,38.000,80.61
0.620,10.407,109.971,32.136,35.729,38.000,81.06
0.630,10.400,109.969,32.170,35.795,38.000,81.51
0.640,10.393,109.968,32.202,35.860,38.000,81.97
0.650,10.386,109.967,32.232,35.924,38.000,82.43
0.660,10.379,109.966,32.261,35.986,38.000,82.89
0.670,10.372,109.965,32.287,36.047,38.000,83.36
0.680,10.365,109.963,32.312,36.105,38.000,83.84
0.690,10.358,109.962,32.334,36.163,38.000,84.31
0.700,10.351,109.961,32.354,36.218,38.000,84.79
0.710,10.343,109.960,32.373,36.272,38.000,85.28
0.720,10.336,109.958,32.389,36.323,38.000,85.77
0.730,10.329,109.957,32.402,36.373,38.000,86.26
0.740,10.321,109.956,32.414,36.420,38.000,86.75
0.750,10.314,109.955,32.423,36.465,38.000,87.25
0.760,10.306,109.953,32.429,36.509,38.000,87.75
0.770,10.298,109.952,32.433,36.550,38.000,88.26
0.780,10.290,109.951,32.435,36.588,38.000,88.77
0.790,10.283,109.949,32.434,36.624,38.000,89.28
0.800,10.275,109.948,32.430,36.658,38.000,89.79
0.810,10.267,109.947,32.424,36.690,38.000,90.30
0.820,10.259,109.945,32.415,36.719,38.000,90.82
0.830,10.251,109.944,32.404,36.745,38.000,91.34
0.840,10.243,109.943,32.389,36.769,38.000,91.86
0.850,10.234,109.941,32.372,36.790,38.000,92.39
0.860,10.226,109.940,32.352,36.809,38.000,92.92
0.870,10.218,109.939,32.330,36.825,38.000,93.45
0.880,10.210,109.937,32.304,36.838,38.000,93.98
0.890,10.201,109.936,32.275,36.848,38.000,94.52
0.900,10.193,109.935,32.244,36.856,38.000,95.05
0.910,10.185,109.933,32.209,36.860,38.000,95.59
0.920,10.176,109.932,32.171,36.862,38.000,96.13
0.930,10.168,109.930,32.131,36.861,38.000,96.68
0.940,10.159,109.929,32.087,36.857,38.000,97.23
0.950,10.150,109.928,32.040,36.850,38.000,97.77
0.960,10.142,109.926,31.990,36.839,38.000,98.33
0.970,10.133,109.925,31.937,36.826,38.000,98.88
