t,U,U,Pij,Pg,Pgt,delta
0.010,6.300,110.000,9.044,19.400,19.400,58.95
0.020,6.300,110.000,9.044,19.400,19.400,58.95
0.030,6.300,110.000,9.044,19.400,19.400,58.95
0.040,6.300,110.000,9.044,19.400,19.400,58.95
0.050,6.300,110.000,9.044,19.400,19.400,58.95
0.060,6.300,110.000,9.044,19.400,19.400,58.95
0.070,6.300,110.000,9.044,19.400,19.400,58.95
0.080,6.300,110.000,9.044,19.400,19.400,58.95
0.090,6.300,110.000,9.044,19.400,19.400,58.95
0.100,6.300,110.000,9.044,19.400,19.400,58.95
0.110,6.300,110.000,9.044,19.400,19.400,58.95
0.120,6.300,110.000,9.044,19.400,19.400,58.95
0.130,6.300,110.000,9.044,19.400,19.400,58.95
0.140,6.300,110.000,9.044,19.400,19.400,58.95
0.150,6.300,110.000,9.044,19.400,19.400,58.95
0.160,6.300,110.000,9.044,19.400,19.400,58.95
0.170,6.300,110.000,9.044,19.400,19.400,58.95
0.180,6.300,110.000,9.044,19.400,19.400,58.95
0.190,6.300,110.000,9.044,19.400,19.400,58.95
0.200,6.300,110.000,9.044,19.400,19.400,58.95
0.200,6.360,109.997,15.820,16.790,19.400,58.95
0.210,6.360,109.997,15.821,16.791,19.400,58.96
0.220,6.359,109.997,15.824,16.795,19.400,58.98
0.230,6.359,109.997,15.828,16.800,19.400,59.01
0.240,6.359,109.997,15.835,16.808,19.400,59.05
0.250,6.358,109.997,15.844,16.818,19.400,59.10
0.260,6.358,109.997,15.854,16.831,19.400,59.17
0.270,6.357,109.997,15.866,16.845,19.400,59.24
0.280,6.356,109.997,15.880,16.862,19.400,59.33
0.290,6.355,109.997,15.896,16.880,19.400,59.43
0.300,6.354,109.996,15.913,16.901,19.400,59.54
0.310,6.353,109.996,15.932,16.924,19.400,59.66
0.320,6.352,109.996,15.953,16.948,19.400,59.79
0.330,6.351,109.996,15.976,16.975,19.400,59.94
0.340,6.349,109.996,16.000,17.003,19.400,60.09
0.350,6.348,109.996,16.025,17.034,19.400,60.25
0.360,6.346,109.995,16.052,17.066,19.400,60.43
0.370,6.344,109.995,16.080,17.099,19.400,60.61
