Час;Объем планового производства, МВт.ч;Индекс равновесных цен на продажу электроэнергии, руб./МВт.ч.;Объем продажи по регулируемым договорам, МВт.ч;Объем продажи на РСВ, МВт.ч;Объем покупки в обеспечение РД, МВт.ч;Максимальный индекс равновесной цены, руб./МВт.ч;Минимальный индекс равновесной цены, руб./МВт.ч;
0;19452.593;811.54;1409.052;17531.667;294.476;4653.60;753.18;
1;19737.390;809.13;1474.179;17750.030;293.169;4653.60;752.12;
2;20120.139;812.36;3859.417;16378.256;923.884;4653.60;753.83;
3;20564.948;814.43;3894.329;16807.448;943.179;4653.60;756.60;
4;21303.361;818.25;3244.937;17997.551;746.477;4653.60;759.91;
5;21407.282;823.56;3244.937;18013.732;665.737;4653.60;763.53;
6;21601.089;850.92;3244.937;17965.617;423.815;4653.60;773.29;
7;21558.640;852.56;3244.937;17923.168;423.815;4653.60;734.21;
8;21271.942;862.91;3244.937;17644.470;423.815;4653.60;775.40;
9;21330.497;871.87;3244.937;17703.025;423.815;4653.60;778.65;
10;21605.880;862.68;3244.937;17978.408;423.815;4653.60;775.57;
11;21656.346;866.96;3244.937;18028.874;423.815;4653.60;774.42;
12;21634.230;867.83;3244.937;18004.758;423.815;4653.60;775.54;
13;21627.458;869.48;3244.937;17991.986;423.815;4653.60;775.44;
14;21680.045;869.28;3242.228;18019.912;396.445;4653.60;775.47;
15;21743.959;871.58;5983.455;15891.902;945.748;4653.60;775.43;
16;21826.917;872.14;5983.455;15974.860;945.748;4653.60;775.34;
17;21849.734;871.33;5983.455;16005.677;945.748;4653.60;777.36;
18;21606.177;868.05;5886.125;15875.490;961.788;4653.60;775.90;
19;20639.963;851.74;1409.052;18584.002;159.441;4653.60;774.62;
20;20570.131;847.57;1409.052;18514.170;159.441;4653.60;762.57;
21;19939.515;858.04;1409.052;17883.554;159.441;4653.60;767.48;
22;19779.592;837.87;1409.052;17739.836;175.646;4653.60;768.60;
23;19350.285;814.30;1409.052;17428.620;293.737;4653.60;744.98;
